     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
 12.745,   0.036,   0.075,   0.598,   5.195,   0.142,   0.904,   0.964,   0.999
  8.872,   0.025,   0.056,   0.119,   1.690,   0.090,   0.951,   1.000,   1.000
  4.812,   0.014,   0.032,   0.059,   1.388,   0.048,   0.996,   1.000,   1.000
  7.488,   0.026,   0.059,   0.106,   2.013,   0.077,   0.983,   0.999,   1.000
  8.733,   0.026,   0.058,   0.220,   3.006,   0.092,   0.973,   0.997,   0.999
 10.788,   0.027,   0.062,   0.334,   3.526,   0.108,   0.946,   0.987,   1.000
  6.107,   0.024,   0.052,   0.184,   3.003,   0.077,   0.981,   0.997,   1.000
  7.063,   0.030,   0.066,   0.173,   2.495,   0.091,   0.980,   0.996,   1.000
  9.117,   0.022,   0.050,   0.158,   2.405,   0.093,   0.985,   0.990,   0.996
  8.208,   0.028,   0.063,   0.201,   2.742,   0.091,   0.977,   0.997,   1.000
  4.397,   0.033,   0.080,   0.095,   1.286,   0.085,   0.995,   0.999,   1.000
  6.853,   0.020,   0.047,   0.116,   2.031,   0.069,   0.992,   0.999,   1.000
  7.534,   0.028,   0.062,   0.192,   2.662,   0.088,   0.972,   0.996,   1.000
 12.953,   0.040,   0.095,   0.334,   3.038,   0.138,   0.890,   0.989,   0.999
